City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kotel'nikovo,47.6317,43.1461,10.65,77,100,10.24,RU,1701454804
1,ilulissat,69.2167,-51.1,2.01,48,20,7.2,GL,1701454804
2,bereznik,62.8551,42.7072,-9.57,98,100,0.95,RU,1701454805
3,anadyr,64.75,177.4833,-10.72,100,75,4.0,RU,1701454805
4,vernon,50.2581,-119.2691,0.16,76,100,3.58,CA,1701454806
5,adamstown,-25.066,-130.1015,21.6,72,16,4.36,PN,1701454806
6,albany,42.6001,-73.9662,9.21,59,100,1.34,US,1701454522
7,mahina,-17.5065,-149.489,28.87,70,20,1.54,PF,1701454808
8,papatowai,-46.5619,169.4708,8.47,88,74,1.36,NZ,1701454808
9,coquimbo,-29.9533,-71.3436,19.85,59,20,6.17,CL,1701454795
10,hermanus,-34.4187,19.2345,18.34,75,40,6.4,ZA,1701454810
11,constantia,44.1833,28.65,11.5,76,94,3.47,RO,1701454713
12,hamilton,39.1834,-84.5333,9.32,95,100,5.14,US,1701454727
13,saint-francois,46.4154,3.9054,4.69,100,100,3.6,FR,1701454811
14,colonia,50.9333,6.95,0.54,73,100,4.63,DE,1701454812
15,koungheul,13.9833,-14.8,35.45,11,91,2.85,SN,1701454813
16,grytviken,-54.2811,-36.5092,5.07,59,1,5.86,GS,1701454814
17,balkh,36.75,67.0,13.08,61,35,1.16,AF,1701454814
18,avarua,-21.2078,-159.775,25.03,88,100,5.66,CK,1701454815
19,hotan,37.0997,79.9269,2.35,37,98,0.82,CN,1701454816
20,blackmans bay,-43.0167,147.3167,10.85,92,100,1.07,AU,1701454817
21,lata,40.1629,-8.3327,12.12,93,39,0.3,PT,1701454818
22,huarmey,-10.0681,-78.1522,23.74,72,57,5.84,PE,1701454819
23,muynoq,43.7683,59.0214,7.34,39,70,3.72,UZ,1701454819
24,badger,64.8,-147.5333,-18.33,85,0,2.06,US,1701454660
25,ouadda,8.0777,22.4007,27.45,41,80,0.86,CF,1701454821
26,abepura,-2.6333,140.5833,23.45,94,20,1.54,ID,1701454821
27,port-aux-francais,-49.35,70.2167,2.56,76,82,9.84,TF,1701454822
28,saipan,15.1355,145.701,27.39,78,40,6.17,MP,1701454823
29,pocone,-16.2567,-56.6228,40.34,19,27,1.31,BR,1701454823
30,waitangi,-43.9535,-176.5597,13.23,76,92,0.89,NZ,1701454824
31,west island,-12.1568,96.8225,25.99,69,40,5.14,CC,1701454825
32,fort saskatchewan,53.7168,-113.2187,-5.86,82,100,2.57,CA,1701454826
33,raja,8.4596,25.678,31.01,29,61,1.3,SS,1701454827
34,atafu village,-8.5421,-172.5159,29.47,75,100,6.64,TK,1701454827
35,lebu,-37.6167,-73.65,14.25,78,100,4.1,CL,1701454828
36,serov,59.6033,60.5787,-11.13,97,100,0.7,RU,1701454829
37,bayanhongor,46.7167,100.1167,-14.21,68,30,1.93,MN,1701454830
38,kununurra,-15.7667,128.7333,27.99,74,99,1.54,AU,1701454830
39,isafjordur,66.0755,-23.124,-3.07,82,63,1.51,IS,1701454831
40,kodiak,57.79,-152.4072,2.73,87,100,4.63,US,1701454739
41,nova sintra,14.8667,-24.7167,22.19,78,100,6.21,CV,1701454832
42,lompoc,34.6391,-120.4579,18.34,54,0,5.14,US,1701454833
43,junagarh,19.8667,82.9333,20.75,64,59,0.7,IN,1701454833
44,bredasdorp,-34.5322,20.0403,18.79,65,47,5.03,ZA,1701454835
45,thompson,55.7435,-97.8558,-16.91,85,20,4.12,CA,1701454835
46,howard springs,-12.497,131.047,26.95,94,92,1.78,AU,1701454836
47,hammerfest,70.6634,23.6821,-4.75,74,40,3.09,NO,1701454837
48,rong kwang,18.339,100.3174,22.51,87,63,1.43,TH,1701454838
49,madison,34.7334,-86.5667,15.74,91,100,3.09,US,1701454763
50,autun,46.95,4.3,3.29,97,100,1.96,FR,1701454839
51,utrik,11.2278,169.8474,27.25,77,98,7.92,MH,1701454840
52,flin flon,54.7682,-101.865,-9.09,79,75,2.57,CA,1701454841
53,ermenek,36.6404,32.8918,6.27,86,0,0.69,TR,1701454842
54,nurota,40.5614,65.6886,9.37,39,100,0.71,UZ,1701454842
55,laascaanood,8.4774,47.3597,23.85,50,15,5.15,SO,1701454843
56,villa gesell,-37.2639,-56.973,18.65,95,100,9.17,AR,1701454731
57,turbat,26.0023,63.044,23.2,68,0,1.73,PK,1701454844
58,kharkhorin,47.1975,102.8238,-9.87,70,2,2.93,MN,1701454845
59,fale old settlement,-9.3852,-171.2468,29.1,77,96,6.6,TK,1701454845
60,yelan'-koleno,51.1523,41.2306,1.77,99,100,6.66,RU,1701454757
61,peace river,56.2501,-117.286,-12.83,85,100,2.57,CA,1701454846
62,yuzhno-kurilsk,44.0306,145.8556,1.32,64,81,10.02,RU,1701454847
63,charlottetown,46.2352,-63.1267,9.29,73,75,6.17,CA,1701454670
64,mhamid,29.82,-5.72,20.25,21,49,5.02,MA,1701454848
65,acapulco de juarez,16.8634,-99.8901,29.9,58,75,2.06,MX,1701454849
66,olonkinbyen,70.9221,-8.7187,-2.04,71,90,4.33,SJ,1701454850
67,edinburgh of the seven seas,-37.0676,-12.3116,13.54,73,100,7.84,SH,1701454850
68,enewetak,11.3474,162.3373,27.47,75,95,9.27,MH,1701454851
69,ribeira grande,38.5167,-28.7,17.22,67,40,7.6,PT,1701454851
70,port alfred,-33.5906,26.891,19.54,88,28,2.68,ZA,1701454852
71,tiksi,71.6872,128.8694,-32.58,98,56,3.12,RU,1701454853
72,nieuw amsterdam,5.8833,-55.0833,33.09,67,40,4.12,SR,1701454853
73,bethel,41.3712,-73.414,9.42,64,100,0.45,US,1701454606
74,dzhalagash,45.0833,64.6667,4.09,35,100,2.73,KZ,1701454854
75,hithadhoo,-0.6,73.0833,27.41,78,100,3.56,MV,1701454855
76,kill devil hills,36.0307,-75.676,18.0,74,0,3.09,US,1701454856
77,tazovsky,67.4667,78.7,-20.84,100,98,2.26,RU,1701454856
78,ushuaia,-54.8,-68.3,9.81,46,40,4.12,AR,1701454747
79,carnarvon,-24.8667,113.6333,22.26,82,2,6.86,AU,1701454857
80,vadso,70.0744,29.7487,-5.91,79,75,2.57,NO,1701454858
81,whitehorse,60.7161,-135.0538,-10.57,78,40,3.09,CA,1701454858
82,port saint john's,-31.6229,29.5448,22.6,83,0,7.65,ZA,1701454859
83,luebo,-5.35,21.4167,21.29,99,100,0.64,CD,1701454859
84,belokurikha,51.9959,84.9896,-0.25,92,86,1.13,RU,1701454860
85,waterloo,43.4668,-80.5164,3.77,96,100,3.09,CA,1701454621
86,murzuq,25.9155,13.9184,18.44,20,1,2.42,LY,1701454861
87,glyn-neath,51.7475,-3.6183,1.8,83,20,2.29,GB,1701454862
88,puerto ayora,-0.7393,-90.3518,28.98,87,95,4.47,EC,1701454863
89,la'ie,21.6477,-157.9253,22.98,82,62,1.43,US,1701454863
90,iskateley,67.6803,53.1512,-9.43,98,100,1.79,RU,1701454864
91,the pas,53.8251,-101.2541,-6.99,86,100,3.6,CA,1701454864
92,hilo,19.7297,-155.09,23.12,98,100,2.06,US,1701454599
93,vakfikebir,41.0458,39.2764,19.93,59,83,4.19,TR,1701454865
94,arraial do cabo,-22.9661,-42.0278,28.98,78,0,6.69,BR,1701454866
95,pemangkat,1.1667,108.9667,24.77,90,100,4.39,ID,1701454867
96,crucecita,-28.95,-58.9833,38.17,37,29,6.66,AR,1701454867
97,wailua homesteads,22.0669,-159.378,22.24,93,100,2.06,US,1701454868
98,naze,28.3667,129.4833,14.51,64,97,5.45,JP,1701454868
99,margaret river,-33.95,115.0667,16.68,90,86,4.1,AU,1701454869
100,ouargla,31.9493,5.325,19.04,18,75,2.57,DZ,1701454870
101,hondo,32.45,130.2,9.94,60,85,6.42,JP,1701454870
102,port mathurin,-19.6833,63.4167,25.83,83,2,5.85,MU,1701454871
103,invercargill,-46.4,168.35,6.6,90,96,1.62,NZ,1701454872
104,vorgashor,67.5833,63.95,-12.23,91,100,1.41,RU,1701454872
105,qaqortoq,60.7167,-46.0333,-0.15,98,100,1.83,GL,1701454874
106,labuan,5.2767,115.2417,27.2,78,20,1.54,MY,1701454875
107,aasiaat,68.7098,-52.8699,-5.4,85,73,2.07,GL,1701454876
108,keflavik,64.0049,-22.5624,-0.76,74,20,5.66,IS,1701454877
109,ulaangom,49.9811,92.0667,-16.45,93,100,1.75,MN,1701454877
110,wrexham,53.0,-3.0,0.56,94,0,0.51,GB,1701454878
111,siwa oasis,29.2041,25.5195,17.46,38,0,0.88,EG,1701454878
112,zouerate,22.7187,-12.4521,25.02,29,49,3.35,MR,1701454880
113,urangan,-25.3,152.9,24.49,92,51,6.02,AU,1701454880
114,khandyga,62.6667,135.6,-34.48,100,100,0.38,RU,1701454882
115,tazacorte,28.629,-17.9293,21.54,87,20,6.69,ES,1701454885
116,abilene,32.4487,-99.7331,14.41,39,0,2.57,US,1701454888
117,isiro,2.7739,27.616,20.93,92,78,0.41,CD,1701454890
118,sylt-ost,54.8833,8.35,-1.95,93,100,4.63,DE,1701454891
119,touba,8.2833,-7.6833,29.21,51,97,1.86,CI,1701454893
120,lydenburg,-25.0978,30.4597,15.65,81,0,1.32,ZA,1701454894
121,margate,51.3813,1.3862,3.72,67,53,1.34,GB,1701454894
122,chonchi,-42.6128,-73.8092,12.56,43,88,3.5,CL,1701454894
123,uliastay,47.7417,96.8444,-9.05,65,82,3.02,MN,1701454896
124,chibougamau,49.9168,-74.3659,-10.21,73,0,4.12,CA,1701454640
125,sainte-anne,16.2333,-61.3667,31.02,58,20,6.17,GP,1701454897
